,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
CDKN1C,0.004087920695465723,-0.006285883533956408,0.019381432339653816,-0.010597008678132654,0.006795774354481536,Trajectory-2,0.0,1.0
FCGR3A,-0.1466368123637702,-0.08108417604531618,-0.015976932699524864,0.0007810011889432148,-0.0028435368459757714,Trajectory-1,15.0,0.0
IL1B,0.003274245001512,-0.0019972121191270467,0.002111054728198501,0.0018438905093273446,-0.0006196468960335203,Trajectory-2,0.0,54.0
PDE4D,0.0027028105120177346,0.0013092075984383132,-0.012240388563767178,-0.018141212596964214,-0.003963620631326682,Trajectory-2,0.0,79.0
AL163541.1,0.0037422985671273818,-0.004177895398400217,0.009876002493495751,-0.003720964652299822,0.0013738668654409837,Trajectory-2,0.0,17.0
NRG1,0.002110294481292184,0.0020381034798324003,-0.00955963126613628,-0.001004399633824923,-0.0020668233888378206,Trajectory-2,0.0,109.0
WWOX,-0.15088166385408183,-0.0887133394906497,-0.017735323165928032,0.0009422576758537076,0.0026116128350998345,Trajectory-1,16.0,0.0
CXCL8,0.0030228860059418254,-0.0009237696255233585,-0.0015776014936719114,0.0028107429570741484,-0.0015840499417322214,Trajectory-2,0.0,70.0
IFITM3,0.0029005708261906605,-0.00018382876623934452,-0.004936769514799039,0.0021790520166917976,-0.003101761897274258,Trajectory-2,0.0,90.0
AFF3,0.002157168282506215,0.0017964803357317797,-0.008215805651003516,0.00654039915359785,-0.0010899714980170995,Trajectory-2,0.0,115.0
HLA-DQA1,0.003674673816112899,-0.003887544478892612,0.00898351739827236,-0.002554914872517873,0.0013152263510720552,Trajectory-2,0.0,24.0
CCSER1,0.002985924706461227,-0.0012544719320304498,0.0007123542948048641,0.0020970112932672943,-0.0006498329530252024,Trajectory-2,0.0,60.0
NEGR1,0.0008641037370100419,0.004957168104312336,-0.013136364236657726,0.007736515706796357,0.0008856143155812477,Trajectory-2,0.0,127.0
CXCL10,0.0008116112093686444,0.0050825402607940825,-0.0133388833605091,0.005375752080662852,0.0007866535452873958,Trajectory-2,0.0,126.0
EREG,0.002512396364886244,0.0010270171796095493,-0.007486504432499086,0.005548357720842836,-0.0021290419702230112,Trajectory-2,0.0,112.0
